Wavelength,ICA1_R1,ICA1_R2,ICA1_R3,ICA2_R1,ICA2_R2,ICA2_R3,ICA3_R1,ICA3_R2,ICA3_R3,ICA4_R1,ICA4_R2,ICA4_R3,ICA5_R1,ICA5_R2,ICA5_R3,ICA6_R1,ICA6_R2,ICA6_R3,ICA7_R1,ICA7_R2,ICA7_R3,INTA1_R1,INTA1_R2,INTA1_R3,INTA2_R1,INTA2_R2,INTA2_R3,INTA3_R1,INTA3_R2,INTA3_R3,IAS1_R1,IAS1_R2,IAS1_R3,IAS2_R1,IAS2_R2,IAS2_R3,IAS3_R1,IAS3_R2,IAS3_R3,IAS4_R1,IAS4_R2,IAS4_R3
598,0.626436677208353,0.621019793974835,0.619517101708652,0.503491704026217,0.497550511180727,0.495906618889058,0.425448030331448,0.421102536903607,0.418553051378761,0.303786620497527,0.300458242890465,0.298210572059809,0.186801326916267,0.186975158678117,0.185974447359795,0.157106385879136,0.156521101599063,0.155052599416042,0.0945398071371012,0.0951855978461493,0.0937028312733994,0.569595081936976,0.560964050660137,0.569524123833423,0.306268578234257,0.313853743142041,0.294179941729095,0.11433678521959,0.114477047442696,0.11842642447914,0.0369295564477114,0.0357638769798518,0.0372097878893683,0.240517432828177,0.236090789891336,0.231859029851397,0.341867479779192,0.34897458543683,0.343631368035152,0.89377351975205,0.84367873948361,0.865171202681941
599,0.626347074053144,0.620987017355475,0.619483662651938,0.503437515801745,0.497541851912959,0.495917106338576,0.425393011388157,0.421063808536153,0.418528892454723,0.30363304587563,0.30034839098303,0.298125587002236,0.186752731442506,0.186905585074231,0.185913574394746,0.157063491879152,0.156458498762881,0.155003388167652,0.094556232322509,0.0951656608146594,0.0937012537881859,0.569617842966859,0.561001240576307,0.569539587855325,0.306232622341718,0.313828343550575,0.294156703089709,0.114339056953359,0.114444593449977,0.118426906749645,0.0369574328721227,0.0357959398089618,0.037231764921808,0.240593275559051,0.236136732356477,0.231907010087028,0.341995336460838,0.349086407277848,0.343740305546132,0.893788245356408,0.843637673997145,0.865178345152673
600,0.626295937776579,0.62091777872448,0.61938584252452,0.503355635416982,0.497494939538146,0.495887546238822,0.425315900903103,0.420993938413511,0.418497457404152,0.303477874552532,0.300203051822345,0.298017245957786,0.186680761126127,0.186851087837221,0.185862976288455,0.157002967876195,0.156431138638686,0.154956946176124,0.0945511706098098,0.0951796674258065,0.093703915247076,0.569645452766048,0.561033556680472,0.569531685960744,0.306212398949963,0.313828090783522,0.294110245424255,0.114344001213332,0.114444280786033,0.118413981275429,0.0369638824191155,0.0358110745786468,0.0372631682976572,0.240644715084554,0.236159031354665,0.231958031571206,0.342096452019131,0.349179701692524,0.343839727471445,0.8938197819277,0.843576073702532,0.865185258397147
601,0.626259385230611,0.620825991429607,0.619276763576408,0.503283826133071,0.497453686693423,0.495797620870403,0.425235507705675,0.420950477457856,0.418457999570856,0.303386318003748,0.300091803910845,0.297927135899657,0.18660947675814,0.186783358490885,0.185805594317891,0.156953579890275,0.15640799365758,0.154944226895464,0.0945203059646801,0.0951902998443139,0.0937258401100211,0.569618981783081,0.561062968687112,0.569492958357317,0.306159251567088,0.313800269656687,0.294061139938646,0.11432333226907,0.11442421286817,0.118386698112127,0.0370038519481408,0.0358413447514975,0.0373060064530701,0.24070166215309,0.236183444967274,0.232009748973861,0.342171733424678,0.349228904898135,0.343937586636257,0.893811605163644,0.843487763460521,0.865238416773058
602,0.626184852710979,0.620756367652343,0.619173037181828,0.503221248518689,0.497406775656086,0.49570727925251,0.425171407143837,0.42087344701753,0.418376490556514,0.303288546483009,0.299979004776478,0.29779567214315,0.186541373256032,0.186724554033328,0.185725874365121,0.156911846931127,0.156367576485096,0.154904945657228,0.0944914418498913,0.0952016663879806,0.0937241537297649,0.569603688586995,0.561098576810456,0.569460201864004,0.306123435617244,0.313815935824491,0.294003514471241,0.114292599672394,0.114423866923912,0.118366354919847,0.0370250619458636,0.0358671126201006,0.0373467804312508,0.240747373731228,0.236220984648812,0.232080565960762,0.342219198415748,0.34927563790145,0.344029627700944,0.893848535013242,0.843438436590469,0.865300890808801
603,0.626069845951725,0.620693764671349,0.619087291246489,0.503150848465896,0.497340445695306,0.495638936724787,0.425105846200208,0.420772471949812,0.418269845733948,0.303156098661104,0.299861931614978,0.297641761936326,0.186474355433506,0.186666569639846,0.185633711939578,0.1568721237722,0.156311681450755,0.154837921825261,0.0944748326308412,0.0952088661745173,0.0937015230637685,0.56960662378298,0.561122032864587,0.569437741219463,0.306101725434234,0.313844519271943,0.293946057361497,0.114255810818788,0.114430828100617,0.118346100914775,0.0370201431117766,0.0358844230327618,0.0373739202346822,0.240777775558635,0.236266569047634,0.232146979930253,0.342245542237138,0.349329711164028,0.34409788225444,0.893926179079215,0.843440601460135,0.865359237954291
604,0.625967995702587,0.620585486429407,0.619039757091758,0.503049485743706,0.497246272653322,0.495597882978373,0.424997067274087,0.420720670302915,0.418207564274716,0.302994124216437,0.299766212259696,0.297553748188037,0.186404695970006,0.1865810830418,0.185565395555569,0.156827886766602,0.156266228019257,0.154791752570967,0.0944694703512379,0.0952034848850926,0.0936995330936691,0.569604129060575,0.561104065424432,0.569416634549287,0.30605633802478,0.313779964061573,0.293914950492507,0.114212107161465,0.114394596211072,0.11829815754609,0.0370159170183513,0.0359011149666774,0.0373777422328253,0.240803153623954,0.236305575175521,0.232155358741225,0.342273832370514,0.34938568797715,0.344120241520136,0.893990793220726,0.843482936745679,0.86543572233921
605,0.625840291054264,0.620480205936393,0.618967647695224,0.502955654356452,0.497151528286769,0.495540447717842,0.424902358628294,0.420628032355683,0.418124466939586,0.302876647860348,0.299639507876037,0.297424268104113,0.186368469567893,0.186502753990776,0.185497147316136,0.156775884395186,0.156215804896005,0.154743235014685,0.0944885674137114,0.0952118585152965,0.0937029730498643,0.569591703519996,0.561087970570837,0.569389379797387,0.306018769429109,0.313703749924114,0.293894770333829,0.114173657576412,0.114358532591865,0.118244862026367,0.0370563850051224,0.035915297845875,0.0374067603171566,0.240847946763955,0.236348435220187,0.232183757018477,0.342322118793311,0.349412869023862,0.344145064855876,0.894012215903823,0.843568945547334,0.865536820887945
606,0.625708078168216,0.620379218677697,0.618879658404807,0.502854008076468,0.497052425312412,0.495459503459182,0.424807873621786,0.420530532743228,0.418012472215572,0.302779525296934,0.299500817843391,0.297267472838441,0.186312077743385,0.186422638435422,0.185416065978684,0.156724042602668,0.15616140932923,0.154690855542509,0.0945080984815213,0.0952195616788433,0.0937005674603637,0.569584444008043,0.561087104041947,0.569383215298533,0.306013303607207,0.31364522899599,0.293890013204724,0.114141326724865,0.114324968104716,0.118195461722053,0.0371086397979287,0.035938838183174,0.0374391766479193,0.240895677512958,0.236392542431522,0.232233346534662,0.34236721988531,0.349429720596845,0.34418398828274,0.894023183750793,0.843654286640521,0.865675968408898
607,0.625613286016911,0.620278492328086,0.618807282725231,0.502728750694614,0.496944844039813,0.495366338777363,0.424693287036139,0.420491558663827,0.417892276997474,0.302658142717024,0.299388822924933,0.297136293051393,0.186176208740368,0.186327359489057,0.185319852419338,0.156683051473987,0.156111132756586,0.15463997081254,0.0944973539241295,0.0952048064292353,0.0936868337521751,0.569606068725918,0.561111054955597,0.569436088789449,0.306059881333642,0.313619415902826,0.293913590599039,0.114110633911579,0.114284880146652,0.118157650045675,0.0371217275346569,0.0359806846635814,0.0374376549098573,0.240926012774343,0.236436549633636,0.232285120174383,0.342382397529525,0.349469048605642,0.344238443660787,0.89408476077628,0.843707582523447,0.865875035479647
